charge_weight_kg,explosive_type,charge_shape,tnt_equivalent_weight_kg,standoff_distance_m,scaled_distance_Z,structure_type,quality_factor,peak_overpressure_kpa,impulse_kpa_ms,damage_category
111.497,RDX,hemispherical,356.792,99.111,13.9739,rc_wall,0.846,13.934,10.804,none
1.197,TNT,hemispherical,2.395,1.423,1.0635,rc_wall,1.041,1359.982,16.451,none
1.649,C4,spherical,2.259,131.577,100.2779,glazing_window,0.984,6.754,0.719,none
0.792,RDX,cylindrical,1.647,2.523,2.1363,glazing_window,1.057,344.545,8.323,moderate
6.989,C4,cylindrical,12.447,14.485,6.2504,steel_frame,1.038,46.304,7.181,none
57.093,ANFO,spherical,46.816,9.075,2.5179,glazing_window,0.867,255.873,22.036,collapse
1072.274,ANFO,cylindrical,1143.044,1.691,0.1617,steel_frame,0.867,15212.071,734.214,collapse
103.094,ANFO,cylindrical,109.898,62.015,12.9468,glazing_window,0.97,16.885,7.585,moderate
23.227,C4,hemispherical,63.643,7.693,1.9269,glazing_window,0.955,333.304,31.369,collapse
3.441,RDX,hemispherical,11.012,7.009,3.1504,masonry_wall,0.961,153.103,9.953,none
5.866,C4,cylindrical,10.447,152.528,69.7724,steel_frame,1.141,7.855,1.392,none
112.106,RDX,hemispherical,358.739,70.946,9.9847,rc_wall,1.008,21.915,13.558,none
2.679,C4,cylindrical,4.772,39.696,23.5785,steel_frame,1.141,10.042,1.656,none
1.008,TNT,cylindrical,1.31,142.438,130.1781,glazing_window,0.859,7.274,0.685,none
329.632,ANFO,cylindrical,351.387,67.543,9.5717,glazing_window,0.854,23.273,13.261,severe
54.195,RDX,hemispherical,173.423,20.758,3.7223,masonry_wall,1.037,114.171,24.218,minor
29.63,TNT,cylindrical,38.519,23.971,7.0978,steel_frame,0.81,42.673,8.257,none
16.1,TNT,spherical,16.1,60.497,23.9587,rc_wall,1.128,9.546,2.18,none
4.715,C4,spherical,6.459,6.887,3.6979,masonry_wall,1.046,124.057,7.208,none
12.015,TNT,spherical,12.015,47.756,20.8509,rc_wall,0.901,10.545,2.323,none
11.341,TNT,cylindrical,14.743,186.324,75.9873,steel_frame,1.066,9.002,1.347,none
1.374,ANFO,spherical,1.127,22.574,21.6911,rc_wall,1.013,11.117,0.834,none
5.793,RDX,hemispherical,18.536,11.354,4.29,glazing_window,1.063,90.103,8.691,moderate
1951.411,RDX,cylindrical,4058.934,105.455,6.6109,masonry_wall,1.055,45.061,40.757,moderate
1.059,ANFO,spherical,0.868,115.905,121.5016,glazing_window,0.978,7.708,0.568,none
953.111,TNT,cylindrical,1239.044,32.366,3.0135,glazing_window,0.986,178.108,45.913,collapse
385.439,RDX,cylindrical,801.713,3.539,0.381,glazing_window,1.09,6735.435,340.352,collapse
163.547,TNT,hemispherical,327.094,84.765,12.3025,glazing_window,0.908,19.655,10.269,moderate
581.829,ANFO,cylindrical,620.23,2.276,0.2669,glazing_window,0.957,12008.058,498.79,collapse
79.76,TNT,spherical,79.76,1.335,0.3101,rc_wall,1.057,9156.546,162.567,collapse
2.102,ANFO,spherical,1.723,1.626,1.356,masonry_wall,0.921,782.671,12.538,none
57.655,ANFO,spherical,47.277,2.157,0.5967,steel_frame,0.959,2965.115,91.211,severe
109.03,TNT,spherical,109.03,145.994,30.56,masonry_wall,1.042,9.475,3.868,none
1.521,C4,spherical,2.083,4.364,3.4168,masonry_wall,0.899,136.115,5.786,none
15.217,ANFO,spherical,12.478,8.722,3.7604,steel_frame,0.866,107.363,9.434,none
25.517,C4,spherical,34.958,3.304,1.0106,rc_wall,1.042,1270.755,44.777,minor
111.963,TNT,cylindrical,145.551,5.341,1.0153,masonry_wall,0.863,1302.857,88.635,collapse
35.147,C4,hemispherical,96.303,49.566,10.8136,steel_frame,1.07,20.777,7.466,none
380.322,C4,cylindrical,677.353,5.291,0.6025,masonry_wall,1.073,3483.329,219.744,collapse
0.793,RDX,hemispherical,2.537,4.423,3.2429,masonry_wall,0.963,156.803,5.539,none
0.565,C4,cylindrical,1.006,80.048,79.8932,masonry_wall,1.107,7.152,0.492,none
10.314,RDX,spherical,16.503,160.463,63.0266,steel_frame,1.052,7.249,1.475,none
173.734,ANFO,hemispherical,284.925,7.806,1.1863,masonry_wall,1.095,1000.782,83.467,collapse
1.98,TNT,cylindrical,2.573,84.016,61.3086,steel_frame,0.884,7.05,0.847,none
1.618,ANFO,hemispherical,2.654,10.75,7.765,masonry_wall,1.016,33.959,3.422,none
1.745,TNT,spherical,1.745,2.608,2.1665,steel_frame,1.054,271.484,8.695,none
29.154,C4,hemispherical,79.881,22.358,5.1914,glazing_window,0.798,59.233,13.728,severe
108.954,TNT,cylindrical,141.64,34.846,6.6849,steel_frame,1.024,38.538,13.783,none
8.282,RDX,hemispherical,26.501,87.735,29.4273,rc_wall,1.244,8.277,2.082,none
65.137,ANFO,hemispherical,106.824,90.47,19.067,masonry_wall,0.893,11.12,4.986,none
93.598,TNT,hemispherical,187.196,2.561,0.4477,masonry_wall,0.981,5101.267,183.698,collapse
6.408,TNT,hemispherical,12.816,23.829,10.1826,glazing_window,1.031,20.976,4.13,minor
1719.863,ANFO,hemispherical,2820.576,26.758,1.8939,steel_frame,1.044,323.507,99.746,severe
327.944,ANFO,spherical,268.914,98.75,15.2991,glazing_window,1.24,12.534,7.41,minor
113.524,TNT,cylindrical,147.581,170.441,32.2525,glazing_window,1.219,6.961,3.152,none
315.505,RDX,cylindrical,656.251,13.391,1.541,steel_frame,1.029,509.311,85.246,severe
361.294,TNT,hemispherical,722.588,1.567,0.1747,rc_wall,1.065,16773.246,639.235,collapse
11.002,ANFO,hemispherical,18.043,1.294,0.4935,glazing_window,1.028,4083.039,75.962,collapse
655.234,RDX,cylindrical,1362.887,50.287,4.5356,masonry_wall,0.926,89.255,37.685,moderate
0.519,TNT,spherical,0.519,15.282,19.0159,rc_wall,1.057,10.731,0.797,none
131.268,RDX,cylindrical,273.038,3.523,0.543,rc_wall,1.3,3811.748,139.647,severe
13.452,RDX,hemispherical,43.045,4.289,1.2239,steel_frame,0.866,961.007,42.695,moderate
192.287,C4,cylindrical,342.463,72.098,10.3051,rc_wall,0.96,21.991,12.632,none
1960.258,RDX,cylindrical,4077.336,40.997,2.5662,rc_wall,1.02,218.369,107.921,severe
1.524,TNT,spherical,1.524,6.93,6.0222,masonry_wall,1.038,46.12,3.201,none
8.62,TNT,cylindrical,11.207,9.275,4.1446,steel_frame,0.998,86.922,8.31,none
851.15,C4,spherical,1166.076,3.475,0.3302,steel_frame,0.937,6741.473,464.996,collapse
112.901,ANFO,cylindrical,120.352,4.885,0.9895,glazing_window,1.1,1404.065,84.043,collapse
52.661,C4,cylindrical,93.789,66.429,14.6209,rc_wall,1.075,15.982,5.566,none
429.879,RDX,spherical,687.807,119.345,13.5202,steel_frame,0.943,16.862,13.5,none
112.418,ANFO,hemispherical,184.365,157.866,27.7371,steel_frame,1.114,7.038,3.994,none
0.703,RDX,hemispherical,2.25,3.683,2.8109,glazing_window,0.89,187.022,7.73,moderate
0.763,C4,hemispherical,2.091,1.806,1.4127,steel_frame,0.883,649.231,13.65,none
13.141,TNT,spherical,13.141,9.091,3.8526,glazing_window,1.084,97.874,9.609,moderate
33.839,TNT,spherical,33.839,13.377,4.1357,masonry_wall,0.958,86.352,12.278,none
7.254,RDX,cylindrical,15.089,3.614,1.4624,masonry_wall,0.889,732.326,24.998,moderate
1122.719,RDX,hemispherical,3592.702,1.293,0.0845,steel_frame,1.007,16502.369,1037.46,collapse
1020.061,C4,cylindrical,1816.729,1.05,0.0861,glazing_window,1.097,13759.789,688.273,collapse
3.71,TNT,hemispherical,7.42,20.407,10.4626,rc_wall,1.012,23.421,3.79,none
1.928,ANFO,cylindrical,2.056,60.055,47.2323,steel_frame,1.001,7.407,0.653,none
74.566,TNT,hemispherical,149.132,184.378,34.7684,rc_wall,1.103,8.222,3.434,none
3.008,ANFO,hemispherical,4.933,8.968,5.2679,masonry_wall,1.076,63.563,4.503,none
0.586,C4,cylindrical,1.043,2.403,2.3699,steel_frame,1.207,290.342,6.549,none
68.863,C4,cylindrical,122.644,1.95,0.3924,glazing_window,0.869,6802.895,174.865,collapse
1868.104,ANFO,spherical,1531.846,1.021,0.0886,rc_wall,1.107,15822.87,808.534,collapse
741.571,ANFO,spherical,608.088,17.132,2.0222,rc_wall,0.982,332.645,55.831,minor
5.764,ANFO,cylindrical,6.144,33.652,18.3736,glazing_window,1.119,12.538,2.092,none
4.099,TNT,spherical,4.099,25.433,15.8918,rc_wall,1.041,13.703,2.104,none
55.095,C4,cylindrical,98.125,55.61,12.0566,glazing_window,1.026,17.885,6.621,minor
37.4,RDX,cylindrical,77.792,8.684,2.0343,glazing_window,1.037,338.514,31.694,collapse
1.726,RDX,spherical,2.761,163.138,116.2803,rc_wall,0.861,6.304,0.667,none
729.283,TNT,hemispherical,1458.566,7.451,0.657,rc_wall,1.146,2240.475,247.689,collapse
56.481,ANFO,cylindrical,60.209,1.741,0.4441,rc_wall,0.893,5308.995,135.413,collapse
238.486,ANFO,spherical,195.559,1.13,0.1948,steel_frame,1.004,18026.238,396.192,collapse
13.196,RDX,hemispherical,42.228,5.424,1.5576,rc_wall,0.915,626.644,31.539,none
24.179,C4,hemispherical,66.25,2.836,0.7009,masonry_wall,1.033,2548.612,82.645,collapse
146.152,TNT,cylindrical,189.997,6.042,1.0509,rc_wall,0.827,1215.863,78.146,severe
5.021,TNT,cylindrical,6.527,2.917,1.5612,glazing_window,0.951,551.976,17.329,collapse
0.727,TNT,cylindrical,0.945,12.821,13.0632,glazing_window,0.773,13.92,1.379,none
5.765,C4,spherical,7.897,57.522,28.8851,steel_frame,1.027,9.047,1.319,none
1354.347,RDX,spherical,2166.956,1.463,0.1131,steel_frame,0.948,12644.566,768.606,collapse
83.284,RDX,hemispherical,266.51,17.701,2.7506,glazing_window,1.005,192.994,38.539,collapse
63.591,C4,spherical,87.119,49.154,11.0879,steel_frame,1.047,20.37,7.081,none
2.779,RDX,hemispherical,8.894,146.727,70.8192,glazing_window,0.973,6.813,1.164,none
559.805,C4,hemispherical,1533.865,2.588,0.2244,glazing_window,0.925,15015.625,771.133,collapse
706.711,RDX,hemispherical,2261.477,6.037,0.4599,rc_wall,1.164,4382.95,383.298,collapse
1216.116,TNT,cylindrical,1580.95,110.481,9.4838,masonry_wall,1.226,24.572,22.241,none
18.378,C4,hemispherical,50.355,2.01,0.5443,glazing_window,1.054,4289.637,106.212,collapse
1.942,ANFO,spherical,1.592,18.868,16.1583,glazing_window,1.113,13.982,1.396,none
7.197,RDX,spherical,11.515,25.08,11.1062,masonry_wall,1.035,19.587,3.743,none
1819.619,ANFO,cylindrical,1939.714,76.375,6.124,masonry_wall,1.054,50.077,30.566,minor
0.758,RDX,spherical,1.212,6.136,5.7547,steel_frame,1.269,53.391,3.142,none
2.9,C4,hemispherical,7.947,133.553,66.925,masonry_wall,0.996,6.76,1.092,none
0.837,C4,cylindrical,1.49,11.336,9.9253,glazing_window,0.966,23.2,2.066,none
1046.015,RDX,cylindrical,2175.711,5.425,0.4187,rc_wall,0.951,5298.043,440.95,collapse
1321.743,RDX,hemispherical,4229.578,6.146,0.38,glazing_window,1.088,7125.342,614.27,collapse
20.824,C4,cylindrical,37.088,113.146,33.9283,masonry_wall,0.964,7.577,2.275,none
1294.345,ANFO,cylindrical,1379.772,6.965,0.6257,rc_wall,0.987,3188.067,262.253,collapse
34.055,RDX,hemispherical,108.976,122.245,25.5931,glazing_window,0.912,8.687,4.028,minor
1.419,C4,spherical,1.945,1.626,1.3025,rc_wall,0.955,866.058,14.181,none
7.503,TNT,cylindrical,9.753,2.852,1.3349,steel_frame,0.875,715.876,23.118,minor
4.899,ANFO,spherical,4.017,2.085,1.3114,masonry_wall,1.041,826.527,17.987,minor
44.83,ANFO,cylindrical,47.789,41.108,11.3278,rc_wall,1.004,19.65,6.241,none
1640.752,C4,hemispherical,4495.661,8.311,0.5036,rc_wall,1.058,4270.723,452.431,collapse
78.894,TNT,cylindrical,102.563,10.508,2.2449,steel_frame,0.885,312.73,32.875,minor
94.668,ANFO,cylindrical,100.916,5.872,1.2613,glazing_window,0.935,905.429,48.868,collapse
1669.249,ANFO,cylindrical,1779.419,51.79,4.2739,glazing_window,1.293,78.964,50.315,collapse
105.111,ANFO,spherical,86.191,4.632,1.0485,masonry_wall,1.053,1211.655,66.726,collapse
434.963,C4,spherical,595.9,95.543,11.3538,masonry_wall,0.871,20.313,14.871,none
1.575,TNT,hemispherical,3.15,60.502,41.2744,glazing_window,0.972,6.622,0.759,none
1.793,RDX,hemispherical,5.737,9.395,5.2478,steel_frame,1.172,63.492,5.475,none
352.578,ANFO,hemispherical,578.228,4.195,0.5035,steel_frame,0.951,3960.84,200.214,collapse
2.159,C4,hemispherical,5.915,9.429,5.2138,glazing_window,1.095,63.873,5.336,minor
1990.434,C4,spherical,2726.894,15.431,1.1045,glazing_window,1.059,1200.151,197.843,collapse
22.923,TNT,spherical,22.923,9.493,3.342,masonry_wall,0.868,145.799,11.73,none
454.038,C4,hemispherical,1244.065,9.094,0.8456,masonry_wall,1.178,1781.603,162.162,collapse
823.609,C4,cylindrical,1466.848,2.144,0.1887,steel_frame,0.957,16253.603,719.581,collapse
0.775,TNT,spherical,0.775,1.003,1.0918,masonry_wall,0.972,1121.017,11.703,none
461.237,TNT,spherical,461.237,2.435,0.3152,glazing_window,0.893,8856.977,317.874,collapse
1.079,ANFO,hemispherical,1.77,8.086,6.6845,rc_wall,1.007,42.049,3.006,none
252.042,RDX,hemispherical,806.535,11.728,1.26,masonry_wall,0.935,870.457,111.74,collapse
1.02,TNT,spherical,1.02,2.545,2.5279,glazing_window,1.124,235.288,6.469,minor
1.56,TNT,hemispherical,3.121,31.902,21.8307,steel_frame,1.0,11.193,1.075,none
2.464,RDX,hemispherical,7.885,3.222,1.6186,rc_wall,0.969,475.404,16.501,none
48.237,RDX,cylindrical,100.332,80.633,17.3526,masonry_wall,0.956,11.069,4.359,none
4.327,TNT,spherical,4.327,9.191,5.6401,steel_frame,0.808,51.84,4.79,none
4.721,TNT,spherical,4.721,15.884,9.4683,masonry_wall,0.904,26.231,3.102,none
2.908,C4,cylindrical,5.179,114.366,66.101,rc_wall,1.074,7.503,1.085,none
25.935,RDX,spherical,41.496,142.138,41.056,masonry_wall,1.235,6.843,1.791,none
2.952,TNT,hemispherical,5.904,1.691,0.9356,glazing_window,0.942,1565.076,27.031,collapse
627.707,RDX,hemispherical,2008.662,5.461,0.4328,glazing_window,1.274,5811.095,429.78,collapse
2.747,TNT,spherical,2.747,110.702,79.0477,steel_frame,0.7,6.752,0.669,none
85.25,TNT,cylindrical,110.825,1.908,0.3973,steel_frame,1.155,6685.259,176.623,collapse
0.721,ANFO,spherical,0.591,8.382,9.9851,masonry_wall,0.931,24.248,1.551,none
2.054,RDX,hemispherical,6.572,178.594,95.3455,rc_wall,0.726,7.641,1.074,none
63.868,RDX,hemispherical,204.378,1.971,0.3346,masonry_wall,1.074,9357.203,266.317,collapse
66.34,C4,hemispherical,181.772,6.688,1.1807,masonry_wall,1.008,950.209,58.603,severe
12.857,RDX,spherical,20.572,5.723,2.0888,masonry_wall,1.182,311.438,19.944,minor
49.653,ANFO,hemispherical,81.431,5.47,1.262,glazing_window,1.209,833.446,53.173,collapse
12.604,RDX,cylindrical,26.217,3.116,1.0491,rc_wall,0.994,1214.263,37.492,minor
1096.221,TNT,cylindrical,1425.087,23.693,2.1054,steel_frame,1.174,317.827,81.766,moderate
60.881,TNT,hemispherical,121.762,1.025,0.2068,glazing_window,1.194,15697.768,323.82,collapse
238.209,TNT,hemispherical,476.417,91.372,11.699,glazing_window,1.007,19.25,10.78,moderate
731.694,RDX,cylindrical,1521.923,7.218,0.6275,rc_wall,1.02,2976.573,246.541,collapse
30.741,TNT,cylindrical,39.963,17.158,5.0187,glazing_window,0.921,60.954,10.16,severe
727.964,ANFO,spherical,596.93,7.272,0.8637,glazing_window,1.074,1858.23,134.287,collapse
1724.696,ANFO,hemispherical,2828.502,24.958,1.7648,steel_frame,0.958,415.181,125.007,collapse
520.567,RDX,cylindrical,1082.779,4.512,0.4394,masonry_wall,1.22,5452.661,331.429,collapse
23.397,C4,spherical,32.054,38.726,12.1911,rc_wall,0.997,15.691,4.823,none
23.022,C4,cylindrical,41.002,15.912,4.6144,glazing_window,0.985,82.22,10.167,moderate
1.116,TNT,hemispherical,2.232,151.29,115.7638,glazing_window,1.223,7.873,0.768,none
688.395,ANFO,hemispherical,1128.968,28.8,2.7659,masonry_wall,1.051,202.773,54.827,severe
1895.708,C4,spherical,2597.12,160.7,11.691,glazing_window,1.11,18.723,20.808,severe
1175.018,C4,cylindrical,2092.708,84.539,6.6093,glazing_window,1.087,49.214,33.536,collapse
42.238,ANFO,hemispherical,69.271,127.984,31.1631,rc_wall,0.955,8.725,2.417,none
6.576,RDX,hemispherical,21.043,2.727,0.9879,masonry_wall,0.865,1515.658,43.473,severe
177.283,TNT,cylindrical,230.467,81.264,13.2545,rc_wall,0.807,16.196,8.763,none
46.188,ANFO,cylindrical,49.236,17.807,4.8585,steel_frame,1.177,77.97,9.362,none
22.027,RDX,hemispherical,70.488,7.744,1.8748,glazing_window,1.15,373.072,33.311,collapse
20.219,RDX,cylindrical,42.055,138.527,39.8347,rc_wall,0.935,7.874,1.657,none
1635.421,RDX,hemispherical,5233.349,3.186,0.1835,rc_wall,0.831,17303.908,1163.026,collapse
1.788,ANFO,spherical,1.466,1.399,1.2313,glazing_window,1.083,926.618,13.894,severe
89.913,C4,cylindrical,160.135,2.914,0.5366,steel_frame,0.812,4422.327,155.233,collapse
1.06,C4,hemispherical,2.904,3.31,2.3203,masonry_wall,1.117,273.16,9.047,none
44.238,C4,spherical,60.607,2.634,0.6706,glazing_window,0.891,2931.463,87.532,collapse
199.215,C4,cylindrical,354.802,2.447,0.3456,steel_frame,0.889,7396.038,244.413,collapse
37.189,ANFO,hemispherical,60.991,14.77,3.7521,masonry_wall,0.85,121.929,15.555,minor
0.87,ANFO,spherical,0.714,23.143,25.8968,glazing_window,0.983,9.129,0.842,none
24.454,RDX,hemispherical,78.254,115.734,27.0578,rc_wall,1.061,8.627,3.176,none
17.429,TNT,spherical,17.429,29.371,11.3281,steel_frame,1.011,22.464,4.233,none
131.531,C4,hemispherical,360.396,162.308,22.8076,rc_wall,1.119,9.728,5.633,none
22.64,RDX,hemispherical,72.447,3.132,0.7514,rc_wall,1.013,2453.925,77.459,moderate
245.856,C4,spherical,336.823,114.473,16.4527,rc_wall,0.825,12.44,9.154,none
5.602,TNT,spherical,5.602,16.525,9.3045,steel_frame,1.04,27.173,3.12,none
9.713,ANFO,spherical,7.965,12.613,6.3158,masonry_wall,0.926,45.809,4.991,none
173.19,RDX,hemispherical,554.209,1.448,0.1763,masonry_wall,1.039,14353.915,597.058,collapse
20.585,RDX,spherical,32.937,77.291,24.112,masonry_wall,1.04,9.174,2.809,none
3.688,RDX,spherical,5.901,53.687,29.7095,masonry_wall,1.016,8.344,1.34,none
6.17,ANFO,spherical,5.059,7.075,4.1211,rc_wall,0.914,104.568,6.422,none
664.625,ANFO,hemispherical,1089.985,198.764,19.3136,rc_wall,0.972,10.892,10.068,none
22.87,C4,spherical,31.332,1.537,0.4876,rc_wall,1.074,4906.873,91.406,moderate
48.741,RDX,cylindrical,101.381,84.153,18.0476,glazing_window,0.885,12.453,4.322,minor
1915.96,TNT,cylindrical,2490.748,101.999,7.5247,glazing_window,1.028,34.599,33.938,collapse
1203.935,RDX,cylindrical,2504.186,6.209,0.4572,rc_wall,1.066,5371.626,357.917,collapse
0.809,ANFO,hemispherical,1.326,152.881,139.1577,glazing_window,0.925,7.146,0.652,none
420.533,ANFO,cylindrical,448.288,4.065,0.5312,steel_frame,1.017,3818.359,180.893,collapse
3.519,RDX,cylindrical,7.319,4.321,2.2254,rc_wall,1.088,257.502,13.044,none
311.47,RDX,hemispherical,996.704,59.71,5.9776,masonry_wall,0.826,45.104,27.637,moderate
57.062,ANFO,spherical,46.791,193.822,53.7876,glazing_window,0.982,7.923,1.9,none
13.263,TNT,spherical,13.263,52.365,22.1225,masonry_wall,1.113,9.133,2.064,none
26.66,C4,hemispherical,73.048,96.175,23.0069,rc_wall,1.045,9.985,3.756,none
1059.061,C4,cylindrical,1886.189,3.679,0.2978,rc_wall,0.993,10661.451,626.801,collapse
2.639,RDX,hemispherical,8.444,2.67,1.3113,glazing_window,1.023,792.267,21.628,collapse
4.542,RDX,spherical,7.267,4.274,2.2064,masonry_wall,1.009,283.541,13.647,none
3.223,C4,hemispherical,8.832,88.76,42.9398,masonry_wall,1.069,7.617,1.225,none
2.876,TNT,hemispherical,5.752,129.108,72.0591,steel_frame,0.719,8.554,1.031,none
666.011,TNT,hemispherical,1332.023,5.054,0.4594,rc_wall,0.998,5285.859,358.699,collapse
210.194,ANFO,spherical,172.359,10.358,1.8612,steel_frame,0.976,365.527,45.766,moderate
250.14,RDX,spherical,400.225,4.596,0.6236,steel_frame,1.006,3088.277,179.438,collapse
13.248,TNT,cylindrical,17.222,64.664,25.0397,steel_frame,1.153,9.498,2.045,none
38.298,RDX,cylindrical,79.659,2.715,0.6311,masonry_wall,1.09,3086.695,112.797,collapse
9.27,ANFO,hemispherical,15.203,29.415,11.874,masonry_wall,1.143,17.494,3.845,none
712.384,C4,cylindrical,1268.756,4.504,0.4161,rc_wall,0.808,6098.025,370.84,collapse
297.339,RDX,spherical,475.742,5.958,0.7632,rc_wall,1.044,2062.191,139.825,collapse
3.105,RDX,hemispherical,9.934,43.465,20.2192,rc_wall,0.923,11.184,2.005,none
0.646,RDX,hemispherical,2.067,8.17,6.4133,steel_frame,0.936,39.146,2.94,none
243.417,RDX,spherical,389.468,109.153,14.9466,rc_wall,0.944,16.879,7.89,none
0.626,C4,hemispherical,1.716,160.536,134.0793,rc_wall,1.017,6.177,0.682,none
25.944,TNT,hemispherical,51.887,10.824,2.902,masonry_wall,0.98,170.794,16.054,minor
60.695,TNT,spherical,60.695,2.111,0.5372,steel_frame,1.015,3822.976,96.882,severe
2.033,TNT,spherical,2.033,3.071,2.4242,glazing_window,0.92,289.513,8.562,moderate
1.501,TNT,cylindrical,1.951,80.083,64.0853,rc_wall,1.009,7.611,0.693,none
99.717,ANFO,cylindrical,106.298,15.901,3.3567,masonry_wall,1.11,121.958,21.521,minor
370.057,RDX,hemispherical,1184.184,3.98,0.3762,glazing_window,1.177,7308.007,345.829,collapse
147.966,ANFO,spherical,121.332,93.46,18.8784,steel_frame,0.941,12.087,4.793,none
946.481,ANFO,cylindrical,1008.949,4.774,0.4759,rc_wall,1.132,5130.365,330.339,collapse
78.965,ANFO,spherical,64.751,27.214,6.7772,masonry_wall,0.907,38.956,9.09,none
20.347,C4,hemispherical,55.752,8.734,2.2862,glazing_window,1.101,259.703,30.606,collapse
3.572,RDX,hemispherical,11.43,81.148,36.0248,glazing_window,0.845,8.804,1.491,none
1100.464,ANFO,cylindrical,1173.095,13.542,1.284,rc_wall,0.865,937.169,125.499,collapse
36.017,C4,cylindrical,64.146,12.828,3.2045,masonry_wall,1.146,162.342,16.804,none
2.241,RDX,spherical,3.586,3.156,2.0618,glazing_window,0.999,348.422,10.745,severe
219.26,TNT,hemispherical,438.521,1.186,0.1561,steel_frame,0.932,15248.13,520.814,collapse
7.483,TNT,spherical,7.483,29.94,15.3068,masonry_wall,1.011,11.704,2.498,none
31.678,RDX,cylindrical,65.89,54.928,13.5994,masonry_wall,0.763,16.098,5.486,none
4.424,ANFO,cylindrical,4.716,21.889,13.0523,steel_frame,1.112,17.162,2.31,none
626.088,RDX,spherical,1001.741,140.187,14.0106,masonry_wall,0.894,16.05,14.172,none
1775.155,C4,cylindrical,3161.551,184.766,12.5889,steel_frame,1.09,17.327,19.39,none
46.808,TNT,hemispherical,93.615,19.515,4.2978,rc_wall,0.969,98.265,15.574,none
